,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DAAM2,28.10381348,-1.993106533,0.326601112,-6.102571176,1.04E-09,3.29E-05
MAOA,17.99151773,-1.477316951,0.31891451,-4.632329062,3.62E-06,0.057045663
TPST1,85.71137612,-1.376286186,0.319542227,-4.307055755,1.65E-05,0.174011811
ZBTB16,58.47010666,-1.332314836,0.324527289,-4.105401549,4.04E-05,0.318390237
LRRC70,4.950253961,-1.223892946,0.322809982,-3.791372683,0.000149817,0.675331979
ESRG,3.460060175,-1.218885849,0.313988801,-3.881940518,0.000103626,0.628853198
AC012085.1,8.770479791,-1.160540804,0.324500447,-3.576392003,0.000348369,0.994944484
KCNH2,49.30827348,-1.157598537,0.322354438,-3.591073682,0.000329319,0.994944484
PTENP1,15.15321619,-1.143478657,0.319044042,-3.584077766,0.000338271,0.994944484
LDHAP4,5.568517751,-1.137646902,0.320038151,-3.55472277,0.000378378,0.994944484
FLT3,99.66973479,-1.131195263,0.325657656,-3.473571843,0.00051358,0.99722229
AC116050.1,3.357290366,-1.068943838,0.309532358,-3.453415482,0.000553536,0.99722229
AC026877.1,3.394568284,-1.062759591,0.327689892,-3.243186979,0.001182006,0.99722229
UBB,4328.674721,-1.059775332,0.318231777,-3.330199589,0.000867838,0.99722229
IL1R2,1620.837856,-1.053317887,0.320213295,-3.289425843,0.00100392,0.99722229
HPGD,186.6064438,-1.050585282,0.321437643,-3.268395303,NA,NA
PRRT4,11.35910317,-1.048099569,0.325777014,-3.217229953,NA,NA
SFRP2,15.68336352,-1.047549218,0.325867608,-3.214646664,0.001306052,0.99722229
AL590609.2,10.02960541,-1.035507813,0.328110153,-3.155976136,0.001599619,0.99722229
MTCO3P12,76.75880986,-1.031525793,0.297121444,-3.471731213,NA,NA
IFITM9P,4.27899027,-1.030096864,0.32449886,-3.174423676,0.001501344,0.99722229
ABCC13,96.07135216,-1.028022129,0.328062029,-3.133621195,0.001726636,0.99722229
CA1,1356.70793,-1.026587858,0.317990625,-3.228358878,0.001245027,0.99722229
AL109741.2,2.579440602,-1.021569784,0.324316387,-3.149917255,0.001633167,0.99722229
VNN1,289.1923679,-1.016927079,0.328110218,-3.099345961,NA,NA
CAP1P2,11.50525606,-1.0075992,0.325445273,-3.096063402,0.001961084,0.99722229
CD24,68.3580105,-1.007154621,0.325365164,-3.09545929,NA,NA
MPO,205.6869769,-0.994909225,0.307649036,-3.233909777,NA,NA
BCAT1,56.36967505,-0.992259839,0.308617959,-3.215172065,0.001303664,0.99722229
CTSE,35.16973271,-0.986969523,0.327527756,-3.013392011,0.00258345,0.99722229
GRB10,78.4536944,-0.977926176,0.3215135,-3.041633324,NA,NA
AC006205.2,6.561946187,-0.975236436,0.323792437,-3.011918512,0.002596023,0.99722229
VSIG4,117.0317747,-0.964151269,0.308100467,-3.129340503,NA,NA
AC113404.3,9.358483378,-0.962992099,0.327887039,-2.936962989,0.003314437,0.99722229
CDC42P6,14.6562899,-0.960158363,0.321181488,-2.989457358,0.002794735,0.99722229
AZU1,76.14014933,-0.958364878,0.309866156,-3.09283495,NA,NA
DUSP13,19.90574809,-0.956150784,0.31605492,-3.025267837,NA,NA
INHBA,5.278924695,-0.955871527,0.315060183,-3.033933128,0.002413879,0.99722229
FN1,69.44600306,-0.953365504,0.30993442,-3.076023318,NA,NA
KEL,64.80966132,-0.951470134,0.325242817,-2.925414751,0.003439974,0.99722229
CHIT1,27.86382263,-0.950085311,0.325045458,-2.922930587,NA,NA
CAVIN1,5.504735904,-0.948403277,0.328101304,-2.890580641,0.003845309,0.99722229
ADD2,44.89111782,-0.947918569,0.294069561,-3.223450141,0.001266563,0.99722229
MTHFS,31.24498542,-0.945243343,0.25996537,-3.636035612,0.000276866,0.994944484
BLVRB,1602.020926,-0.942084346,0.317973043,-2.962780545,0.003048738,0.99722229
HIST1H3PS1,24.39458713,-0.941734028,0.325051327,-2.897185609,0.003765269,0.99722229
OLFM4,232.3728288,-0.938434556,0.294889433,-3.182326839,NA,NA
