"","Gene","SLE001h","SLE002h","SLE004h","SLE005h","SLE006h","SLE007h","SLE008h","SLE010h","SLE011h","SLE012h","SLE013h","SLE014h","SLE015h","SLE016h"
"1","5S_rRNA",0,0,0,0,1,0,0,0,0,1,0,0,1,0
"2","5_8S_rRNA",0,0,1,0,0,0,0,1,0,0,0,0,0,0
"3","7SK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","A1BG",0,1,0,0,0,0,1,1,0,4,2,1,0,0
"5","A1BG-AS1",5,11,12,9,1,3,3,14,12,9,11,17,6,1
"6","A1CF",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7","A2M",2,3,25,0,5,1,0,10,2,6,14,8,2,1
"8","A2M-AS1",0,2,6,3,3,4,1,8,3,2,17,5,2,0
"9","A2ML1",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"10","A2ML1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","A2ML1-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","A2MP1",0,5,19,3,12,1,5,21,1,6,12,12,3,0
"13","A3GALT2",0,2,3,1,0,1,0,1,0,1,3,0,0,0
"14","A4GALT",0,0,1,1,0,1,0,0,0,1,0,0,0,0
"15","A4GNT",0,0,1,1,0,0,0,0,0,0,0,0,0,0
"16","AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","AAAS",65,123,181,141,125,108,161,218,137,153,220,222,118,55
"18","AACS",33,39,77,50,61,42,51,77,48,85,63,70,49,31
"19","AACSP1",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"20","AADAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","AADACL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","AADACL2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","AADACL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","AADACL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","AADACP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","AADAT",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"27","AAED1",20,28,92,45,66,34,53,68,51,57,52,79,41,27
"28","AAGAB",104,225,258,171,322,166,131,347,324,221,317,402,191,125
"29","AAK1",105,364,728,442,508,431,206,703,471,883,676,911,421,158
"30","AAMDC",15,12,8,4,12,3,3,10,7,7,9,16,7,1
"31","AAMP",195,287,472,346,392,296,384,525,462,407,560,514,295,166
"32","AANAT",5,11,7,0,7,6,2,11,3,8,12,10,2,2
"33","AAR2",59,139,186,143,175,135,138,267,222,164,179,210,114,100
"34","AARD",0,0,0,0,1,0,0,1,0,0,0,0,0,1
"35","AARS",69,147,252,208,248,210,159,424,245,277,268,437,117,100
"36","AARS2",4,58,82,57,65,64,46,96,49,84,90,98,39,21
"37","AARSD1",1,4,9,7,2,3,8,9,1,12,6,5,4,1
"38","AARSP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","AASDH",40,93,101,50,83,55,46,109,94,133,121,183,84,35
"40","AASDHPPT",41,113,187,114,174,113,68,218,168,148,205,344,165,65
"41","AASS",0,7,5,9,3,5,3,9,4,15,14,11,9,1
"42","AATBC",23,85,141,88,140,78,110,191,110,76,212,160,65,21
"43","AATF",204,324,452,309,390,278,306,530,563,382,465,607,314,247
"44","AATK",330,585,243,538,348,409,185,837,817,496,340,581,636,207
"45","AB015752.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","ABALON",11,15,3,7,20,14,22,7,21,0,19,19,4,63
"47","ABAT",100,243,236,187,224,141,83,259,254,181,239,376,277,161
"48","ABBA01000935.2",1,0,0,0,2,0,1,2,0,0,0,0,0,0
"49","ABBA01006766.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","ABCA1",32,1097,766,300,359,179,40,1489,484,681,800,2555,577,172
"51","ABCA10",0,2,7,1,6,3,2,6,3,7,8,10,4,2
"52","ABCA11P",0,3,1,2,0,2,0,3,1,2,1,3,2,1
"53","ABCA12",0,0,1,0,0,1,0,0,0,0,0,0,0,0
"54","ABCA13",52,15,12,5,31,1,3,14,29,10,13,24,59,5
"55","ABCA17P",0,2,2,2,0,2,0,0,0,1,0,0,0,1
"56","ABCA2",283,639,979,730,631,619,414,1020,488,569,854,1021,402,122
"57","ABCA3",2,13,37,43,44,59,51,42,29,40,35,52,19,12
"58","ABCA4",0,0,0,0,0,0,0,0,0,0,0,2,1,1
"59","ABCA5",30,119,129,76,102,80,31,129,68,156,139,256,104,19
"60","ABCA6",0,5,2,2,5,1,0,3,4,7,5,11,2,3
"61","ABCA7",785,2224,1447,1543,864,1069,840,2083,863,1558,1297,1848,1180,228
"62","ABCA8",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"63","ABCA9",2,1,0,3,2,1,3,1,2,2,3,4,0,1
"64","ABCA9-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","ABCB1",5,36,108,117,91,105,48,65,72,113,85,108,106,31
"66","ABCB10",41,115,117,78,123,118,68,162,92,131,124,196,83,57
"67","ABCB10P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","ABCB10P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","ABCB10P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","ABCB11",0,0,0,0,0,1,0,2,1,1,0,1,0,0
"71","ABCB4",1,4,11,8,3,12,12,22,2,7,1,17,11,9
"72","ABCB5",1,1,0,0,1,0,0,0,1,0,0,1,1,2
"73","ABCB6",5,4,4,2,4,1,4,7,5,5,3,8,6,1
"74","ABCB7",54,94,142,91,142,97,73,189,131,135,159,185,105,79
"75","ABCB8",66,76,166,129,112,111,98,197,90,157,154,166,65,28
"76","ABCB9",4,4,16,4,4,10,7,30,5,30,14,4,7,1
"77","ABCC1",148,260,488,380,395,418,304,526,362,482,439,587,267,153
"78","ABCC10",139,105,247,174,174,153,124,264,123,205,225,233,111,27
"79","ABCC11",3,1,1,0,0,1,0,0,0,2,4,2,0,0
"80","ABCC12",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","ABCC13",100,85,9,25,46,27,43,18,77,29,34,100,66,317
"82","ABCC2",17,32,38,11,19,11,9,55,21,33,36,44,23,7
"83","ABCC3",45,159,87,167,59,190,167,87,147,107,63,199,199,73
"84","ABCC4",43,71,77,62,104,138,70,122,93,171,133,203,146,100
"85","ABCC5",173,360,382,241,215,207,104,352,256,371,349,598,423,95
"86","ABCC5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","ABCC6",17,30,22,16,8,6,6,33,22,16,32,35,19,8
"88","ABCC6P1",2,1,0,0,0,0,0,0,0,1,0,0,0,0
"89","ABCC6P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","ABCC8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","ABCC9",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","ABCD1",141,190,158,133,115,120,134,286,209,109,192,246,92,71
"93","ABCD1P2",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"94","ABCD1P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","ABCD1P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","ABCD1P5",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"97","ABCD2",1,42,108,88,125,77,36,114,69,205,121,170,86,31
"98","ABCD3",55,88,175,122,190,123,76,182,241,209,215,310,136,70
"99","ABCD4",78,141,264,180,146,189,126,287,162,261,238,292,127,36
"100","ABCE1",40,138,271,126,188,137,82,276,181,324,231,433,198,99
"101","ABCF1",112,247,456,343,337,283,297,533,367,367,473,484,247,130
"102","ABCF2",99,144,251,184,209,183,158,319,282,243,248,341,195,95
"103","ABCF2P1",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"104","ABCF2P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","ABCF3",108,206,322,287,259,206,187,367,291,248,275,392,181,100
"106","ABCG1",16,535,333,152,155,180,66,490,405,190,405,1098,215,263
"107","ABCG2",11,19,11,4,8,8,7,6,8,4,9,21,4,35
"108","ABCG4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","ABCG5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","ABCG8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","ABHD1",1,1,6,9,1,2,1,3,2,4,5,2,6,0
"112","ABHD10",31,103,169,97,147,85,100,176,127,152,195,293,95,53
"113","ABHD11",39,47,45,36,43,40,43,61,38,41,36,46,23,20
"114","ABHD11-AS1",7,2,0,0,1,1,2,3,1,0,0,1,1,2
"115","ABHD12",57,67,126,92,104,90,126,158,108,106,119,123,68,29
"116","ABHD12B",4,22,19,1,8,1,3,8,16,11,7,22,11,2
"117","ABHD13",124,262,291,167,255,153,97,353,286,373,287,536,248,131
"118","ABHD14A",5,21,32,24,23,15,15,36,19,32,35,24,10,8
"119","ABHD14A-ACY1",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"120","ABHD14B",92,140,256,220,188,222,196,280,262,284,249,282,141,114
"121","ABHD15",19,54,175,109,112,126,118,161,95,110,118,149,84,42
"122","ABHD15-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","ABHD16A",25,31,34,32,24,25,16,40,16,29,28,37,15,3
"124","ABHD16B",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","ABHD17A",135,208,527,475,404,395,332,525,267,328,425,362,194,89
"126","ABHD17AP1",3,2,0,2,2,2,2,1,1,1,1,0,1,1
"127","ABHD17AP3",0,0,0,0,0,0,0,0,1,0,1,0,0,0
"128","ABHD17AP4",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"129","ABHD17AP5",0,7,3,3,4,5,0,3,3,2,3,2,0,1
"130","ABHD17AP6",7,6,3,1,3,3,1,3,1,0,2,3,1,0
"131","ABHD17AP7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132","ABHD17AP8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133","ABHD17AP9",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","ABHD17B",33,64,139,66,84,69,70,135,125,105,86,157,92,54
"135","ABHD17C",21,23,39,18,21,19,15,32,28,15,24,58,16,10
"136","ABHD18",19,84,164,52,90,67,38,169,79,134,112,193,71,35
"137","ABHD2",821,1428,1586,1339,1952,1515,541,1735,3528,2054,2156,2772,2381,1049
"138","ABHD3",154,744,640,426,412,339,187,740,448,591,692,1416,465,132
"139","ABHD4",95,319,279,189,205,175,140,306,373,217,220,404,247,133
"140","ABHD5",409,460,358,252,288,264,117,423,627,366,368,617,414,332
"141","ABHD6",28,33,56,39,47,39,60,66,53,40,47,62,43,29
"142","ABHD8",49,33,34,46,35,49,61,42,63,30,49,57,18,24
"143","ABI1",355,770,946,529,706,511,330,1013,989,796,897,1726,637,498
"144","ABI1P1",0,0,0,0,0,0,0,0,1,0,0,1,0,0
"145","ABI2",12,79,118,90,91,83,37,109,97,179,117,190,110,24
"146","ABI3",62,259,415,315,502,285,316,534,377,193,432,418,150,161
"147","ABI3BP",0,1,0,1,1,0,1,1,0,3,1,4,1,1
"148","ABL1",58,122,190,156,136,147,120,257,157,165,185,226,125,63
"149","ABL2",55,163,195,110,136,80,43,212,185,175,213,318,116,49
"150","ABLIM1",54,632,739,602,362,822,327,647,590,1846,671,1394,552,169
"151","ABLIM2",0,2,3,3,3,1,2,3,2,10,6,3,2,0
"152","ABLIM3",84,161,88,75,59,119,165,67,169,126,67,143,165,76
"153","ABO",8,16,37,18,20,43,26,18,23,176,25,19,0,5
"154","ABR",487,918,1151,916,910,803,612,1364,1215,849,1146,1612,846,406
"155","ABRA",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"156","ABRACL",121,241,284,185,226,167,165,377,310,306,367,519,178,152
"157","ABRAXAS1",17,38,92,39,61,60,29,77,66,105,61,119,64,25
"158","ABRAXAS2",40,100,158,89,131,82,77,178,164,141,162,229,89,59
"159","ABT1",75,187,278,261,249,196,179,317,271,206,245,315,206,112
"160","ABT1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161","ABTB1",3101,4864,3390,3991,2835,3040,1905,4073,5589,3541,3177,6073,3277,2166
"162","ABTB2",11,50,33,18,14,13,15,74,23,15,45,55,14,4
"163","AC000032.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","AC000035.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","AC000036.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166","AC000041.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167","AC000041.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","AC000058.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169","AC000061.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","AC000067.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","AC000068.1",1,1,3,1,1,1,0,2,0,3,1,2,1,0
"172","AC000068.2",0,1,0,0,1,1,0,0,0,1,0,0,1,0
"173","AC000068.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174","AC000077.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175","AC000078.1",0,3,7,1,1,5,0,2,2,6,7,0,4,1
"176","AC000081.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177","AC000089.1",0,1,2,0,0,0,0,0,0,0,2,0,1,0
"178","AC000095.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179","AC000095.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180","AC000099.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181","AC000111.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182","AC000111.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","AC000120.1",0,3,1,0,1,0,0,9,0,1,0,0,1,0
"184","AC000123.1",1,2,8,3,3,1,6,5,6,4,7,5,7,2
"185","AC000123.2",2,4,6,0,5,0,2,5,2,2,4,12,4,1
"186","AC000123.3",5,11,52,17,24,25,5,45,18,47,54,55,35,2
"187","AC000124.1",0,0,0,0,1,0,0,0,0,0,0,0,0,1
"188","AC000362.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189","AC000367.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190","AC000372.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191","AC000374.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192","AC000403.1",7,8,4,6,2,1,2,7,5,10,3,4,1,1
"193","AC001226.1",0,1,0,0,0,1,0,0,0,1,1,0,0,0
"194","AC001226.2",0,0,3,1,1,0,0,3,3,5,2,0,1,0
"195","AC002044.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196","AC002044.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197","AC002044.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198","AC002056.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199","AC002056.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
